DateTime,pH,EC,TDS,WaterTemp,Lux,RH,AirTemp
2024-01-04 10:00:00,6.599999999999999,1.55,0.775,26.416666666666668,,,
2024-01-04 14:00:00,6.916666666666667,1.2116666666666667,0.6058333333333333,27.283333333333335,,,
2024-02-04 10:00:00,6.383333333333333,1.7183333333333337,0.8591666666666669,26.36666666666667,,,
2024-02-04 14:00:00,6.366666666666666,1.7116666666666667,0.8558333333333333,27.933333333333334,,,
2024-03-04 10:00:00,6.199999999999999,1.6483333333333334,0.8241666666666667,25.766666666666666,65870.0,61.7,26.3
2024-03-04 14:00:00,6.333333333333333,1.6483333333333334,,27.38333333333333,65870.0,61.7,26.3
2024-03-13 10:00:00,5.933333333333334,1.9783333333333335,0.9891666666666667,22.233333333333334,,,
2024-03-13 14:00:00,5.8999999999999995,1.9766666666666666,0.9883333333333333,25.016666666666666,,,
2024-03-14 10:00:00,5.933333333333334,1.9466666666666665,0.9733333333333333,24.966666666666665,,,
2024-03-14 14:00:00,5.966666666666666,1.9516666666666669,0.9758333333333334,25.900000000000002,,,
2024-03-15 10:00:00,5.8,1.985,0.9925,25.349999999999998,,,
2024-03-16 10:00:00,5.766666666666667,1.9666666666666666,0.9833333333333333,23.483333333333334,22050.0,60.0,23.5
2024-03-16 14:00:00,5.883333333333334,1.97,0.985,24.149999999999995,22050.0,60.0,23.5
2024-03-17 10:00:00,5.45,1.8983333333333332,0.9491666666666666,24.383333333333336,38880.0,68.1,22.3
2024-03-17 14:00:00,,,,,38880.0,68.1,22.3
2024-03-18 10:00:00,5.566666666666666,1.9133333333333333,0.9566666666666667,24.066666666666666,27600.0,65.3,21.8
2024-03-18 14:00:00,,,,,27600.0,65.3,21.8
2024-03-19 10:00:00,5.566666666666666,1.89,0.945,24.933333333333337,75050.0,59.3,22.8
2024-03-19 14:00:00,,,,,75050.0,59.3,22.8
2024-03-20 10:00:00,5.333333333333333,1.9383333333333332,0.9691666666666666,23.63333333333333,36200.0,60.3,22.5
2024-03-20 14:00:00,5.7,1.8033333333333335,0.9016666666666667,25.233333333333334,36200.0,60.3,22.5
2024-03-21 10:00:00,5.866666666666667,1.83,0.915,20.283333333333335,15460.0,64.1,22.7
2024-03-21 14:00:00,5.833333333333333,1.8316666666666668,0.9158333333333334,23.833333333333332,15460.0,64.1,22.7
2024-03-22 10:00:00,5.8,1.8183333333333334,0.9091666666666667,24.066666666666666,,,
2024-03-22 14:00:00,5.733333333333333,1.8383333333333332,0.9191666666666666,25.083333333333332,,,
2024-03-23 14:00:00,,,0.0,,,,
2024-03-24 10:00:00,,,,,82730.0,56.7,23.9
2024-03-24 14:00:00,5.8500000000000005,1.6866666666666665,0.8433333333333333,24.7,82730.0,56.7,23.9
2024-03-25 10:00:00,5.949999999999999,1.8133333333333335,0.9066666666666667,22.450000000000003,,,
2024-03-25 14:00:00,,,0.0,,,,
2024-03-26 10:00:00,5.95,1.8166666666666667,0.9083333333333333,23.25,74420.0,41.1,28.6
2024-03-26 14:00:00,5.983333333333333,1.8183333333333334,0.9091666666666667,25.75,74420.0,41.1,28.6
2024-03-27 10:00:00,6.3999999999999995,1.78,0.89,25.05,79530.0,52.6,25.7
2024-03-27 14:00:00,6.45,1.7850000000000001,0.8925000000000001,26.099999999999998,36530.0,54.8,25.1
2024-03-28 10:00:00,6.133333333333334,1.7933333333333332,0.8966666666666666,24.766666666666666,47100.0,58.7,23.8
2024-03-28 14:00:00,,,0.0,,47100.0,58.7,23.8
2024-03-29 14:00:00,6.6833333333333345,1.7999999999999998,0.8999999999999999,26.349999999999998,,,
2024-03-30 10:00:00,6.766666666666667,1.6816666666666666,0.8408333333333333,25.01666666666667,,,
2024-03-30 14:00:00,6.783333333333334,1.6733333333333331,0.8366666666666666,27.933333333333334,,,
2024-03-31 10:00:00,,,0.0,,77820.0,60.1,29.6
2024-03-31 14:00:00,,,0.0,,77820.0,60.1,29.6
2024-04-04 10:00:00,,,,,69530.0,51.2,29.3
2024-04-04 14:00:00,6.033333333333334,1.7699999999999998,,29.05,69530.0,51.2,29.3
2024-10-03 10:00:00,,,,,48300.0,60.8,22.1
2024-10-03 14:00:00,6.8999999999999995,1.571666666666667,0.7783333333333334,22.650000000000002,48300.0,60.8,22.1
2024-11-03 10:00:00,5.616666666666666,2.025,1.0125,19.75,50330.0,64.0,20.4
2024-11-03 14:00:00,5.583333333333333,2.025,1.0125,22.666666666666668,61270.0,59.5,21.8
2024-12-03 10:00:00,5.8999999999999995,1.92,0.96,21.633333333333336,60540.0,45.0,29.5
2024-12-03 14:00:00,5.8,1.9699999999999998,0.9849999999999999,25.71666666666667,45190.0,55.0,26.7
